ax,ay,az,gx,gy,gz,temp,time
-288,-420,18444,1296,227,-22,2704,171621
-388,-304,18600,1049,182,-26,2736,171642
-304,-360,18452,790,247,-9,2640,171663
-316,-336,18424,661,215,-96,2656,171684
-288,-364,18448,623,248,-185,2768,171705
-252,-248,18536,595,244,-417,2704,171726
-380,-404,18420,579,289,-301,2672,171747
-288,-284,18556,554,307,-263,2704,171768
-344,-372,18428,532,287,-2,2704,171789
-348,-344,18416,561,262,68,2736,171810
-288,-336,18424,557,272,57,2736,171831
-332,-316,18432,538,263,75,2768,171852
-304,-340,18504,470,226,27,2656,171873
-484,-188,18516,384,333,338,2720,171894
216,208,18452,235,462,700,2704,171915
164,-616,18508,-649,340,24,2656,171936
672,972,18608,288,122,-86,2720,171957
-476,-876,19228,4093,-2748,-4582,2720,171978
-984,-380,19512,888,-349,-4922,2720,171999
-116,-932,18604,586,264,-3525,2720,172020
164,-1436,18524,542,367,-2613,2704,172041
-396,-1308,18496,526,342,-1467,2816,172062
-428,-864,18500,494,299,14,2704,172083
-236,-376,18408,490,368,65,2704,172104
-296,-396,18532,516,353,71,2672,172125
-188,-280,18436,495,328,84,2704,172146
-220,-372,18468,475,324,66,2704,172167
-180,-308,18488,482,296,63,2736,172188
-276,-304,18484,486,313,51,2736,172209
-232,-308,18428,502,331,42,2640,172230
-204,-324,18572,489,315,73,2720,172251
-164,-400,18472,501,337,24,2704,172272
-196,-348,18480,467,318,64,2720,172293
-252,-348,18436,533,333,63,2784,172314
-296,-340,18540,512,356,47,2704,172335
-240,-308,18528,493,304,61,2784,172356
-212,-328,18512,483,351,48,2672,172377
-144,-360,18452,515,322,58,2720,172398
-212,-292,18424,493,344,50,2656,172419
-296,-276,18448,486,328,56,2704,172440
-192,-292,18612,481,324,12,2672,172461
-256,-360,18496,477,314,57,2784,172482
-216,-384,18424,489,331,49,2736,172503
-224,-392,18428,467,353,72,2736,172524
-316,-316,18524,524,292,55,2720,172545
-308,-272,18452,485,364,49,2640,172566
-180,-276,18432,511,312,89,2704,172587
-232,-328,18368,502,333,40,2720,172608
-196,-468,18404,480,304,94,2736,172629
-260,-356,18440,483,350,50,2736,172650
-304,-296,18496,512,313,36,2720,172671
-300,-348,18548,637,197,26,2704,172692
-204,-348,18428,577,300,19,2736,172713
-244,-504,18408,535,260,-2063,2704,172734
-40,-360,18280,538,505,-2867,2720,172755
-228,-544,18448,570,257,-2394,2720,172776
-168,-152,18556,581,284,-1687,2720,172797
368,-1132,18560,616,292,-3084,2720,172818
-784,-344,18456,538,351,-1458,2720,172839
-792,-280,18392,460,174,124,2704,172860
-824,88,18668,447,20,1348,2720,172881
-852,-888,18472,427,-304,1615,2656,172902
-272,-480,18508,398,-477,2527,2704,172923
488,232,18020,438,-306,1646,2720,172944
1920,-2324,18080,435,108,2378,2720,172965
-324,-412,18364,513,68,351,2704,172986
12,-340,18464,492,-406,447,2720,173007
180,-372,18492,514,-414,644,2720,173028
64,48,18472,504,-437,907,2720,173049
352,644,18356,527,-1388,1281,2720,173070
896,-848,18420,507,-1390,1420,2720,173091
648,-340,18568,621,-1699,2390,2704,173112
-48,424,18608,517,-1145,1824,2720,173133
864,-616,18228,565,-1543,1385,2704,173154
44,-532,18504,564,-1542,798,2736,173175
704,-648,18300,602,-1361,374,2704,173196
356,-264,18524,561,-892,302,2656,173217
2024,-524,18456,497,-1054,294,2720,173238
580,-188,18784,559,-1486,-150,2656,173259
244,-432,18476,491,-1789,318,2736,173280
1064,-212,18360,578,-1755,1120,2720,173301
960,-256,18336,497,-1545,390,2672,173322
712,-420,18988,589,-2039,140,2768,173343
564,-132,18800,661,-3619,286,2736,173364
964,16,18608,811,-3475,1430,2704,173385
1920,-392,18688,848,-4708,1480,2720,173406
1904,-320,18404,755,-5494,986,2736,173427
2176,-268,17896,682,-4743,444,2720,173448
2308,-352,18320,693,-3618,439,2720,173469
2356,-380,18332,674,-3862,367,2768,173490
3184,-408,17880,730,-3740,369,2704,173511
2440,-128,18408,595,-3529,246,2720,173532
2584,-164,18552,690,-4316,333,2640,173553
3304,-116,18172,751,-4464,235,2736,173574
3836,32,17948,767,-4422,217,2736,173595
3424,-244,18588,925,-4767,740,2720,173616
3856,-108,18236,832,-6281,676,2784,173637
4392,-60,17472,784,-5431,529,2672,173658
4560,-328,17624,788,-3477,482,2784,173679
5172,-212,17544,651,-2909,-90,2768,173700
4780,-116,17624,687,-2318,174,2720,173721
5864,-304,17184,729,-1747,129,2736,173742
4556,-100,18680,734,-2109,318,2768,173763
4752,-128,17836,839,-3140,607,2768,173784
4696,-8,17720,810,-2656,631,2736,173805
4764,-128,17800,712,-1911,527,2704,173826
5104,-208,17880,834,-2409,652,2704,173847
5600,-104,17404,849,-2914,575,2720,173868
5700,-116,17512,727,-2800,363,2704,173889
5588,-36,17608,649,-3471,172,2720,173910
5804,-152,17256,722,-3330,405,2720,173931
6128,12,17180,1020,-2765,1058,2720,173952
6416,-24,17252,1031,-3293,1176,2736,173973
6600,-16,17400,1043,-3669,1030,2704,173994
6316,-372,17128,727,-3724,559,2720,174015
6880,-180,16780,955,-3058,759,2720,174036
7028,-260,16692,744,-1689,521,2736,174057
6848,-204,17248,542,-1848,79,2704,174078
6972,-180,16880,552,-2013,12,2704,174099
7316,-96,16620,594,-640,46,2768,174120
6868,-16,17220,673,-1221,9,2720,174141
7196,-104,17036,696,-2393,55,2768,174162
7356,-4,16576,619,-2104,38,2704,174183
7612,-80,16564,614,-1737,4,2720,174204
7708,8,16740,604,-1687,-67,2720,174225
7220,164,17112,485,-2000,-291,2704,174246
7660,-12,16828,570,-3077,-177,2720,174267
7824,-108,16336,657,-3263,-31,2704,174288
